Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
Innovate Industries,Email,Men 25-34,30 days,0.06,15972.84,2.91,Nueva Orleans,French,1603,11141,4,Health & Wellness,2023-11-22
Innovate Industries,Search,Women 35-44,15 days,0.14,14242.56,4.37,Nueva Orleans,German,124,5729,3,Fashionistas,2023-11-21
DataTech Solutions,Influencer,Women 35-44,30 days,0.04,11896.28,4.46,Nueva Orleans,English,1096,18866,3,Health & Wellness,2023-11-27
DataTech Solutions,Social Media,All Ages,45 days,0.07,8792.28,7.15,Las Vegas,Spanish,475,16528,6,Health & Wellness,2023-11-03
Innovate Industries,Influencer,Men 18-24,15 days,0.14,7605.47,3.44,Nueva York,French,1967,18510,7,Health & Wellness,2023-11-21
Innovate Industries,Influencer,Men 25-34,45 days,0.01,18749.76,3.35,Nueva York,English,886,14159,10,Foodies,2023-11-16
Innovate Industries,Influencer,Women 35-44,60 days,0.14,10594.39,3.6,Seattle,French,192,12993,4,Outdoor Adventurers,2023-11-09
DataTech Solutions,Social Media,Women 25-34,60 days,0.1,9379.23,6.79,Las Vegas,Mandarin,1153,18454,9,Foodies,2023-11-03
NexGen Systems,Search,Women 35-44,30 days,0.08,5266.25,3.28,San Francisco,English,1197,17862,3,Outdoor Adventurers,2023-11-09
Alpha Innovations,Influencer,Women 25-34,15 days,0.07,12292.55,2.06,Nueva Orleans,Spanish,1019,11417,9,Tech Enthusiasts,2023-11-10
Alpha Innovations,Search,Men 18-24,30 days,0.11,16873.54,2.62,Nueva York,German,679,8918,5,Health & Wellness,2023-11-14
TechCorp,Influencer,Women 35-44,60 days,0.05,16828.27,2.9,Nueva York,English,1612,10980,6,Foodies,2023-11-26
Alpha Innovations,Email,Men 25-34,45 days,0.13,12351.15,2.04,Nueva Orleans,Mandarin,1057,16343,1,Foodies,2023-11-19
Alpha Innovations,Social Media,Women 25-34,45 days,0.08,15937.75,4.19,San Francisco,English,1277,19827,8,Fashionistas,2023-11-04
NexGen Systems,Display,Men 25-34,15 days,0.1,17763.28,5.06,Nueva Orleans,Spanish,1718,18313,7,Fashionistas,2023-11-24
Alpha Innovations,Influencer,Women 25-34,30 days,0.1,15612.88,3.05,Nueva Orleans,French,1766,18378,9,Fashionistas,2023-11-03
DataTech Solutions,Social Media,Women 35-44,15 days,0.06,8787.08,3.65,Los Ángeles,German,883,11720,9,Outdoor Adventurers,2023-11-14
TechCorp,Influencer,Men 18-24,30 days,0.07,14902.05,5.56,Las Vegas,French,1824,16286,1,Foodies,2023-11-25
Alpha Innovations,Influencer,Women 35-44,30 days,0.09,7369.72,4.03,Seattle,German,362,6824,3,Outdoor Adventurers,2023-11-10
Innovate Industries,Email,Women 25-34,30 days,0.04,9818.73,7.61,Las Vegas,English,1381,11810,2,Foodies,2023-11-13
DataTech Solutions,Search,Men 18-24,15 days,0.08,19325.93,4.3,Nueva Orleans,French,662,17808,3,Foodies,2023-11-25
Alpha Innovations,Influencer,Men 25-34,45 days,0.13,12027.08,7.89,Boston,French,1106,9746,10,Fashionistas,2023-11-13
Innovate Industries,Display,Men 18-24,45 days,0.1,8004.01,4.88,Nueva York,Mandarin,1044,11347,7,Fashionistas,2023-11-29
Innovate Industries,Display,Women 25-34,15 days,0.14,19975.28,4.57,Nueva Orleans,Mandarin,1329,13405,10,Fashionistas,2023-11-04
TechCorp,Social Media,Women 35-44,45 days,0.06,11684.04,6.24,Las Vegas,English,1060,19293,3,Tech Enthusiasts,2023-11-07
Alpha Innovations,Influencer,Men 25-34,60 days,0.03,11732.52,5.44,Nueva York,German,1336,6190,2,Fashionistas,2023-11-10
TechCorp,Email,Men 25-34,60 days,0.03,17369.25,2.66,San Francisco,Spanish,1195,8825,6,Foodies,2023-11-25
TechCorp,Social Media,All Ages,30 days,0.08,16651.59,5.33,Nueva Orleans,Mandarin,619,13808,1,Outdoor Adventurers,2023-11-23
TechCorp,Social Media,Men 25-34,30 days,0.14,17084.17,5.85,Boston,French,1752,8963,7,Outdoor Adventurers,2023-11-15
NexGen Systems,Display,Women 25-34,60 days,0.03,8936.91,5.95,Seattle,French,1903,5820,5,Health & Wellness,2023-11-05
Innovate Industries,Influencer,Women 25-34,60 days,0.07,6100.79,6.98,Nueva Orleans,English,672,11044,2,Outdoor Adventurers,2023-11-14
Alpha Innovations,Search,Men 18-24,30 days,0.13,12477.17,6.74,Miami,French,1017,3122,2,Foodies,2023-11-24
TechCorp,Display,Men 25-34,45 days,0.03,8946.01,5.64,Chicago,Mandarin,1493,11338,5,Health & Wellness,2023-11-16
DataTech Solutions,Display,Men 25-34,30 days,0.02,14429.39,2.37,Miami,English,1084,10055,7,Foodies,2023-11-19
NexGen Systems,Influencer,Men 18-24,15 days,0.08,14774.24,2.42,Boston,Spanish,779,7179,8,Health & Wellness,2023-11-02
Innovate Industries,Search,All Ages,30 days,0.02,14415.84,5.94,Washington D.C.,Spanish,1592,7371,10,Health & Wellness,2023-11-12
NexGen Systems,Email,All Ages,15 days,0.13,8844.33,5.36,Boston,German,490,3113,9,Outdoor Adventurers,2023-11-18
DataTech Solutions,Social Media,Men 18-24,45 days,0.06,17900.77,4.75,Miami,Mandarin,784,4122,1,Outdoor Adventurers,2023-11-20
NexGen Systems,Social Media,All Ages,15 days,0.14,15340.54,3.59,Nueva Orleans,German,377,8683,5,Tech Enthusiasts,2023-11-03
Alpha Innovations,Email,Women 25-34,60 days,0.07,10677.67,5.91,Miami,Mandarin,249,7803,9,Fashionistas,2023-11-06
TechCorp,Search,All Ages,60 days,0.15,17648.81,7.41,San Francisco,English,1525,12318,9,Health & Wellness,2023-11-28
DataTech Solutions,Search,All Ages,15 days,0.11,10867.77,3.37,Chicago,German,621,9147,7,Foodies,2023-11-04
NexGen Systems,Search,Men 25-34,60 days,0.15,11474.0,3.46,San Francisco,French,788,2938,10,Tech Enthusiasts,2023-11-21
NexGen Systems,Search,Men 25-34,30 days,0.02,6085.25,6.29,Nueva York,German,1726,1451,7,Health & Wellness,2023-11-08
DataTech Solutions,Display,Men 25-34,15 days,0.1,15964.67,4.73,Los Ángeles,German,1226,14405,7,Outdoor Adventurers,2023-11-17
NexGen Systems,Social Media,Women 25-34,60 days,0.15,13987.94,5.35,Los Ángeles,English,481,11047,7,Foodies,2023-11-05
Innovate Industries,Social Media,Men 18-24,45 days,0.13,19549.91,5.93,Nueva York,English,1315,1235,6,Foodies,2023-11-10
Innovate Industries,Influencer,Men 25-34,45 days,0.06,8575.14,3.58,Nueva York,German,267,10069,9,Foodies,2023-11-04
Innovate Industries,Social Media,Men 25-34,30 days,0.08,8338.25,2.52,Boston,Spanish,494,19420,5,Tech Enthusiasts,2023-11-22
TechCorp,Social Media,Women 25-34,15 days,0.1,11777.77,3.92,Seattle,French,733,14942,1,Fashionistas,2023-11-29
Innovate Industries,Social Media,Women 25-34,30 days,0.05,10577.18,5.08,Las Vegas,French,1389,9850,10,Tech Enthusiasts,2023-11-26
Innovate Industries,Display,Women 35-44,15 days,0.04,17302.27,5.36,Nueva York,Spanish,1679,8807,9,Foodies,2023-11-19
DataTech Solutions,Influencer,Women 25-34,15 days,0.14,19709.38,7.63,Las Vegas,Spanish,1137,3360,8,Outdoor Adventurers,2023-11-15
DataTech Solutions,Social Media,Men 18-24,60 days,0.02,18615.82,4.86,Nueva Orleans,French,573,16233,7,Foodies,2023-11-22
Alpha Innovations,Email,Women 35-44,60 days,0.05,11487.1,6.51,Nueva York,French,1550,15690,8,Fashionistas,2023-11-22
DataTech Solutions,Search,Women 35-44,30 days,0.1,10449.48,3.18,Nueva Orleans,German,1811,17556,7,Health & Wellness,2023-11-09
DataTech Solutions,Influencer,All Ages,30 days,0.11,6606.06,6.41,San Francisco,Mandarin,1799,14389,2,Fashionistas,2023-11-05
DataTech Solutions,Search,Women 35-44,30 days,0.07,16780.42,4.12,Boston,English,572,15584,9,Outdoor Adventurers,2023-11-24
DataTech Solutions,Email,Women 35-44,15 days,0.05,11844.46,2.52,Boston,Spanish,1191,6105,7,Foodies,2023-11-27
Alpha Innovations,Search,Women 25-34,15 days,0.02,5925.83,6.86,Chicago,Spanish,1260,15803,4,Fashionistas,2023-11-05
NexGen Systems,Search,Men 18-24,15 days,0.1,13138.9,2.22,Las Vegas,Mandarin,1263,17435,8,Fashionistas,2023-11-13
Innovate Industries,Display,Men 25-34,45 days,0.13,11843.51,5.56,Las Vegas,English,1880,11548,5,Outdoor Adventurers,2023-11-12
NexGen Systems,Social Media,All Ages,45 days,0.11,10725.88,2.61,Nueva Orleans,German,1341,1566,4,Tech Enthusiasts,2023-11-03
Alpha Innovations,Social Media,Women 25-34,60 days,0.12,17222.4,6.36,Las Vegas,German,1296,9003,7,Outdoor Adventurers,2023-11-27
NexGen Systems,Email,All Ages,15 days,0.13,19947.34,4.09,Nueva Orleans,Spanish,101,9479,10,Fashionistas,2023-11-12
DataTech Solutions,Search,All Ages,30 days,0.01,8296.3,7.04,Nueva York,English,1479,1350,3,Fashionistas,2023-11-11
