Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
TechCorp,Influencer,All Ages,15 days,0.06,10529.72,4.09,Nueva Orleans,German,1709,15613,5,Foodies,2023-05-04
NexGen Systems,Social Media,Women 25-34,15 days,0.09,13627.03,4.68,Los Ángeles,English,1093,6630,2,Outdoor Adventurers,2023-05-19
DataTech Solutions,Social Media,Men 25-34,30 days,0.13,6457.43,5.38,Boston,Mandarin,954,2511,6,Fashionistas,2023-05-22
NexGen Systems,Social Media,Men 25-34,45 days,0.03,6902.45,3.18,Los Ángeles,Spanish,1863,12466,4,Fashionistas,2023-05-25
NexGen Systems,Influencer,Men 18-24,60 days,0.11,8476.78,6.39,Nueva Orleans,German,1971,16236,1,Tech Enthusiasts,2023-05-04
Alpha Innovations,Social Media,Women 35-44,45 days,0.01,13103.31,3.76,Seattle,Spanish,1921,17142,4,Foodies,2023-05-09
DataTech Solutions,Search,Men 18-24,15 days,0.14,13418.21,2.96,Las Vegas,Spanish,837,5523,1,Health & Wellness,2023-05-08
Alpha Innovations,Social Media,Men 18-24,45 days,0.11,18934.18,4.26,Los Ángeles,English,1639,6870,6,Foodies,2023-05-09
Innovate Industries,Email,All Ages,45 days,0.14,16226.55,7.65,Washington D.C.,Mandarin,1087,16277,7,Health & Wellness,2023-05-20
Alpha Innovations,Social Media,Women 35-44,60 days,0.04,10098.58,5.09,Miami,English,596,13531,1,Fashionistas,2023-05-17
DataTech Solutions,Social Media,All Ages,30 days,0.03,16435.49,3.58,Los Ángeles,French,725,3007,6,Tech Enthusiasts,2023-05-11
DataTech Solutions,Social Media,Men 18-24,30 days,0.09,14095.43,3.73,Chicago,Mandarin,1866,5977,5,Tech Enthusiasts,2023-05-30
TechCorp,Social Media,Men 25-34,45 days,0.05,18722.97,2.21,Chicago,Spanish,282,11153,10,Outdoor Adventurers,2023-05-17
Innovate Industries,Display,Men 25-34,15 days,0.02,9533.7,4.63,Nueva York,French,1808,11158,1,Health & Wellness,2023-05-26
Alpha Innovations,Display,Women 25-34,15 days,0.15,5610.64,2.58,San Francisco,German,1755,6380,3,Outdoor Adventurers,2023-05-28
TechCorp,Social Media,All Ages,45 days,0.1,14287.57,6.76,Washington D.C.,French,1721,5994,7,Tech Enthusiasts,2023-05-09
NexGen Systems,Display,Men 25-34,60 days,0.12,11739.03,4.64,Nueva York,German,1667,14218,2,Fashionistas,2023-05-29
TechCorp,Display,Women 35-44,60 days,0.06,5621.05,5.67,Boston,French,1295,7518,8,Outdoor Adventurers,2023-05-18
Alpha Innovations,Search,Women 35-44,60 days,0.02,18111.41,2.73,Los Ángeles,English,204,5326,3,Fashionistas,2023-05-29
Alpha Innovations,Email,Men 25-34,30 days,0.13,11046.98,3.47,Chicago,German,1242,4315,9,Health & Wellness,2023-05-04
Innovate Industries,Influencer,Men 18-24,30 days,0.11,19754.02,7.36,Chicago,Mandarin,283,3627,2,Fashionistas,2023-05-06
TechCorp,Social Media,All Ages,15 days,0.11,14749.27,2.37,Washington D.C.,French,537,1784,6,Foodies,2023-05-27
DataTech Solutions,Email,All Ages,30 days,0.14,10040.15,7.45,Boston,English,1940,19516,6,Tech Enthusiasts,2023-05-12
TechCorp,Influencer,Men 25-34,60 days,0.11,5707.82,7.91,Nueva Orleans,Mandarin,450,3385,6,Outdoor Adventurers,2023-05-04
Alpha Innovations,Social Media,Men 18-24,60 days,0.1,7909.32,4.95,San Francisco,German,710,12157,7,Outdoor Adventurers,2023-05-02
Innovate Industries,Influencer,All Ages,15 days,0.1,19402.73,3.98,Seattle,Spanish,1986,3975,3,Outdoor Adventurers,2023-05-06
TechCorp,Email,Women 35-44,15 days,0.13,19659.31,6.83,Los Ángeles,French,486,12807,10,Fashionistas,2023-05-05
TechCorp,Influencer,Men 18-24,60 days,0.09,12064.64,6.53,Las Vegas,English,1160,7846,9,Outdoor Adventurers,2023-05-07
Alpha Innovations,Display,Women 35-44,30 days,0.07,9325.03,5.9,San Francisco,Mandarin,1856,16630,8,Tech Enthusiasts,2023-05-04
Alpha Innovations,Influencer,Women 25-34,30 days,0.15,19050.23,4.64,San Francisco,English,368,18236,2,Foodies,2023-05-27
NexGen Systems,Email,Men 25-34,30 days,0.04,7949.53,5.19,Miami,French,289,9463,6,Tech Enthusiasts,2023-05-19
Alpha Innovations,Search,Women 25-34,60 days,0.02,11430.88,3.85,Nueva York,French,813,14118,4,Outdoor Adventurers,2023-05-10
Alpha Innovations,Search,Women 35-44,60 days,0.1,7824.36,7.1,Las Vegas,English,1049,10950,3,Health & Wellness,2023-05-06
Alpha Innovations,Social Media,Women 25-34,30 days,0.03,7344.28,4.46,Washington D.C.,German,485,1214,7,Tech Enthusiasts,2023-05-05
DataTech Solutions,Email,All Ages,15 days,0.07,6020.83,7.16,Las Vegas,Spanish,1951,8583,6,Health & Wellness,2023-05-29
NexGen Systems,Display,All Ages,15 days,0.14,8254.0,4.08,Boston,French,561,17788,10,Outdoor Adventurers,2023-05-06
TechCorp,Display,Men 18-24,30 days,0.09,12507.51,2.58,Washington D.C.,English,1207,12761,2,Outdoor Adventurers,2023-05-09
TechCorp,Display,Men 25-34,60 days,0.15,8484.74,5.21,Las Vegas,French,1277,13169,6,Outdoor Adventurers,2023-05-13
Innovate Industries,Social Media,Men 18-24,30 days,0.08,13334.27,2.5,Miami,French,1539,18508,7,Tech Enthusiasts,2023-05-15
TechCorp,Display,Men 25-34,60 days,0.04,16874.45,2.44,San Francisco,Mandarin,1431,5657,10,Foodies,2023-05-02
TechCorp,Email,All Ages,15 days,0.12,17449.28,7.27,San Francisco,French,1505,5522,1,Health & Wellness,2023-05-07
Alpha Innovations,Influencer,Men 25-34,60 days,0.06,16035.46,4.12,San Francisco,Spanish,531,16065,2,Fashionistas,2023-05-28
TechCorp,Display,Women 25-34,45 days,0.04,12487.27,4.92,Chicago,English,374,9010,1,Tech Enthusiasts,2023-05-07
Alpha Innovations,Search,Men 18-24,30 days,0.04,14052.32,5.99,San Francisco,English,244,10252,5,Foodies,2023-05-11
Innovate Industries,Email,Women 35-44,60 days,0.03,15175.04,6.73,Nueva York,Mandarin,1433,7416,5,Foodies,2023-05-13
TechCorp,Social Media,Men 18-24,15 days,0.08,14412.31,6.08,Las Vegas,Mandarin,562,6058,9,Tech Enthusiasts,2023-05-18
DataTech Solutions,Search,Men 18-24,60 days,0.06,8675.24,5.32,Washington D.C.,Mandarin,1440,9843,6,Foodies,2023-05-24
Alpha Innovations,Search,Men 25-34,60 days,0.1,12640.72,6.46,Las Vegas,German,1756,5965,5,Health & Wellness,2023-05-20
Alpha Innovations,Email,All Ages,60 days,0.03,7192.73,3.8,Seattle,French,1906,11191,2,Health & Wellness,2023-05-22
Innovate Industries,Email,Men 18-24,60 days,0.05,10819.0,4.33,Chicago,English,181,5425,9,Foodies,2023-05-21
NexGen Systems,Social Media,Men 25-34,45 days,0.08,11807.97,2.91,San Francisco,German,642,7718,8,Foodies,2023-05-23
NexGen Systems,Social Media,Men 25-34,60 days,0.01,18666.05,2.3,Nueva York,German,1923,10702,5,Fashionistas,2023-05-19
Innovate Industries,Email,Men 25-34,15 days,0.01,5912.29,5.43,Boston,English,1668,7824,9,Tech Enthusiasts,2023-05-04
NexGen Systems,Display,Men 18-24,15 days,0.07,6300.46,5.62,Boston,French,1070,1000,7,Tech Enthusiasts,2023-05-29
Alpha Innovations,Search,Women 25-34,45 days,0.02,6053.99,4.32,Chicago,Mandarin,1720,6916,8,Foodies,2023-05-03
Alpha Innovations,Social Media,Men 18-24,30 days,0.05,7467.7,3.48,Las Vegas,English,1396,3482,6,Foodies,2023-05-12
Alpha Innovations,Social Media,Men 25-34,45 days,0.08,17104.85,7.03,Nueva Orleans,Spanish,739,4042,2,Tech Enthusiasts,2023-05-22
Alpha Innovations,Display,All Ages,60 days,0.15,15319.83,2.92,Seattle,German,955,13295,1,Tech Enthusiasts,2023-05-14
TechCorp,Search,Women 25-34,30 days,0.11,19586.86,2.52,Boston,Spanish,162,18112,7,Health & Wellness,2023-05-10
Innovate Industries,Display,Men 25-34,45 days,0.14,12369.48,2.08,Las Vegas,French,1539,12601,3,Health & Wellness,2023-05-15
DataTech Solutions,Email,All Ages,45 days,0.13,8492.06,5.89,Seattle,English,754,14486,9,Outdoor Adventurers,2023-05-03
NexGen Systems,Search,Men 18-24,60 days,0.1,12401.52,5.72,Chicago,German,100,8673,10,Outdoor Adventurers,2023-05-01
DataTech Solutions,Email,Women 35-44,30 days,0.02,16449.53,3.48,Miami,French,1315,19557,5,Health & Wellness,2023-05-26
DataTech Solutions,Email,Women 35-44,30 days,0.15,14340.67,7.6,Chicago,Spanish,447,7497,9,Fashionistas,2023-05-08
Innovate Industries,Display,Men 25-34,15 days,0.04,5033.86,5.03,Miami,French,1279,4219,3,Outdoor Adventurers,2023-05-25
NexGen Systems,Display,Women 35-44,45 days,0.11,19806.61,3.35,Boston,English,1691,19930,9,Fashionistas,2023-05-18
DataTech Solutions,Search,Women 35-44,30 days,0.02,8092.78,5.66,Las Vegas,German,1006,16916,2,Health & Wellness,2023-05-29
NexGen Systems,Search,Women 35-44,15 days,0.06,14859.23,7.93,Washington D.C.,Mandarin,798,10402,10,Health & Wellness,2023-05-24
NexGen Systems,Social Media,Men 18-24,15 days,0.04,13845.83,4.2,Seattle,English,145,19271,1,Fashionistas,2023-05-25
NexGen Systems,Social Media,Women 35-44,30 days,0.13,8906.25,4.88,Miami,German,1005,15155,3,Health & Wellness,2023-05-19
Innovate Industries,Display,Men 25-34,60 days,0.14,15008.34,7.05,Las Vegas,English,1910,10840,2,Tech Enthusiasts,2023-05-09
DataTech Solutions,Display,Men 18-24,15 days,0.05,11430.84,2.4,Boston,English,215,18470,1,Foodies,2023-05-28
Alpha Innovations,Search,All Ages,45 days,0.14,17662.16,2.7,Miami,Mandarin,261,18611,5,Foodies,2023-05-28
Alpha Innovations,Email,Women 25-34,60 days,0.14,5441.43,5.44,Seattle,Mandarin,430,7906,6,Health & Wellness,2023-05-25
