Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
TechCorp,Display,Men 25-34,45 days,0.05,11671.6,6.04,Las Vegas,German,184,2883,2,Tech Enthusiasts,2023-01-19
TechCorp,Influencer,Women 35-44,30 days,0.06,18975.68,2.96,Boston,German,1853,7502,1,Health & Wellness,2023-01-08
Innovate Industries,Social Media,Women 25-34,45 days,0.15,18392.03,4.62,Nueva York,Mandarin,1175,3409,5,Foodies,2023-01-26
DataTech Solutions,Search,Men 25-34,60 days,0.03,5664.76,2.54,Nueva Orleans,Mandarin,352,9670,2,Tech Enthusiasts,2023-01-25
Innovate Industries,Search,All Ages,60 days,0.09,17373.82,3.64,Seattle,English,1370,7501,2,Foodies,2023-01-03
TechCorp,Email,Women 25-34,45 days,0.11,7023.84,2.87,Washington D.C.,Spanish,1937,13722,4,Fashionistas,2023-01-17
NexGen Systems,Influencer,Men 25-34,45 days,0.13,13077.99,4.05,Washington D.C.,German,1671,17465,10,Outdoor Adventurers,2023-01-19
TechCorp,Display,All Ages,30 days,0.05,14888.95,3.24,Nueva Orleans,Spanish,1913,6995,1,Outdoor Adventurers,2023-01-16
TechCorp,Social Media,Women 35-44,60 days,0.15,7610.5,5.57,San Francisco,English,1049,1712,10,Tech Enthusiasts,2023-01-12
DataTech Solutions,Social Media,Men 18-24,60 days,0.02,13946.51,2.35,San Francisco,English,172,10078,5,Health & Wellness,2023-01-25
Alpha Innovations,Social Media,All Ages,45 days,0.08,19445.74,2.75,Los Ángeles,Mandarin,175,6448,9,Foodies,2023-01-13
Innovate Industries,Social Media,Men 18-24,15 days,0.07,8231.98,2.42,Boston,Spanish,872,14673,3,Health & Wellness,2023-01-06
DataTech Solutions,Influencer,Men 25-34,60 days,0.05,10852.02,5.11,Nueva York,German,507,15442,9,Outdoor Adventurers,2023-01-04
Innovate Industries,Display,All Ages,15 days,0.13,13547.05,5.25,Chicago,German,482,16634,5,Foodies,2023-01-15
DataTech Solutions,Influencer,Women 35-44,15 days,0.04,12087.14,6.18,Boston,English,1068,7220,6,Foodies,2023-01-11
NexGen Systems,Influencer,Women 25-34,60 days,0.05,17610.32,5.59,Washington D.C.,Mandarin,1409,17918,9,Tech Enthusiasts,2023-01-28
NexGen Systems,Display,Men 25-34,30 days,0.05,15623.25,5.08,Washington D.C.,English,182,18873,9,Foodies,2023-01-01
TechCorp,Search,Women 25-34,45 days,0.14,12836.8,4.73,Las Vegas,English,260,12588,6,Fashionistas,2023-01-28
Innovate Industries,Display,Men 18-24,60 days,0.09,8773.54,3.42,Seattle,English,370,14929,9,Tech Enthusiasts,2023-01-23
Alpha Innovations,Social Media,Men 25-34,30 days,0.03,17750.14,5.33,Washington D.C.,Spanish,1727,19572,10,Foodies,2023-01-20
Innovate Industries,Email,Women 25-34,45 days,0.13,12781.85,6.43,Chicago,Spanish,944,3563,1,Foodies,2023-01-01
Alpha Innovations,Email,Men 18-24,30 days,0.04,15504.96,2.88,Washington D.C.,French,404,2269,2,Health & Wellness,2023-01-07
NexGen Systems,Search,Men 25-34,45 days,0.12,19936.82,4.77,Miami,Spanish,1479,10747,3,Foodies,2023-01-17
Innovate Industries,Search,Men 25-34,15 days,0.02,15220.14,3.82,Nueva York,German,723,3468,9,Tech Enthusiasts,2023-01-02
Alpha Innovations,Influencer,Men 25-34,60 days,0.07,5997.36,2.2,Nueva Orleans,German,1318,15066,8,Fashionistas,2023-01-02
DataTech Solutions,Influencer,All Ages,30 days,0.06,19415.36,4.32,Chicago,Mandarin,1732,15049,1,Health & Wellness,2023-01-24
NexGen Systems,Influencer,All Ages,45 days,0.13,7959.59,6.9,Nueva Orleans,Mandarin,814,15677,2,Outdoor Adventurers,2023-01-03
DataTech Solutions,Influencer,Men 25-34,15 days,0.13,16365.55,5.45,Nueva York,Mandarin,1617,17258,8,Health & Wellness,2023-01-10
NexGen Systems,Social Media,Women 35-44,60 days,0.05,11552.73,7.09,Las Vegas,French,1158,19077,1,Outdoor Adventurers,2023-01-13
Alpha Innovations,Display,Women 25-34,45 days,0.08,18289.35,2.32,Boston,English,1956,5180,2,Foodies,2023-01-14
TechCorp,Social Media,Women 25-34,15 days,0.04,9490.39,2.4,Miami,German,776,17208,8,Health & Wellness,2023-01-28
DataTech Solutions,Display,Men 18-24,60 days,0.01,15786.25,4.4,Las Vegas,French,1903,18307,10,Tech Enthusiasts,2023-01-27
Innovate Industries,Social Media,Men 25-34,30 days,0.08,8861.61,5.36,San Francisco,English,375,9443,7,Tech Enthusiasts,2023-01-22
NexGen Systems,Display,All Ages,60 days,0.06,9341.26,6.23,Miami,Spanish,1044,13583,3,Foodies,2023-01-29
NexGen Systems,Influencer,Women 25-34,60 days,0.05,17732.43,2.69,Miami,German,1867,11086,3,Fashionistas,2023-01-02
NexGen Systems,Social Media,All Ages,15 days,0.05,8810.29,7.23,Washington D.C.,Mandarin,724,6898,1,Fashionistas,2023-01-15
NexGen Systems,Influencer,Men 25-34,15 days,0.07,11650.81,2.42,San Francisco,Mandarin,901,14419,3,Fashionistas,2023-01-03
TechCorp,Influencer,Women 35-44,30 days,0.11,6745.11,7.75,Boston,Spanish,198,4961,3,Outdoor Adventurers,2023-01-22
DataTech Solutions,Email,Women 25-34,60 days,0.07,15997.46,4.78,Washington D.C.,French,1722,19503,10,Fashionistas,2023-01-05
Innovate Industries,Display,Women 25-34,15 days,0.04,19450.4,4.84,Boston,Spanish,1411,14363,6,Foodies,2023-01-18
Alpha Innovations,Email,Men 18-24,45 days,0.07,14851.7,5.76,Los Ángeles,German,1046,10812,4,Foodies,2023-01-01
NexGen Systems,Email,All Ages,60 days,0.08,19021.35,7.63,Chicago,French,465,14191,4,Outdoor Adventurers,2023-01-30
NexGen Systems,Social Media,Women 35-44,30 days,0.08,19467.54,5.66,San Francisco,German,1244,3129,3,Fashionistas,2023-01-04
NexGen Systems,Influencer,Men 18-24,60 days,0.08,7451.35,3.07,Chicago,German,498,2859,3,Tech Enthusiasts,2023-01-30
Alpha Innovations,Social Media,Women 25-34,45 days,0.02,8221.8,2.85,Chicago,French,825,17211,2,Fashionistas,2023-01-12
Alpha Innovations,Email,Men 18-24,45 days,0.11,5147.97,5.63,Los Ángeles,French,393,2026,10,Tech Enthusiasts,2023-01-25
Innovate Industries,Search,Women 35-44,60 days,0.02,5662.32,5.56,Los Ángeles,Mandarin,1762,16258,9,Health & Wellness,2023-01-27
DataTech Solutions,Display,All Ages,30 days,0.02,9565.93,6.53,Nueva Orleans,French,113,16712,7,Foodies,2023-01-12
NexGen Systems,Influencer,Women 25-34,60 days,0.12,9191.08,6.76,Miami,English,666,4078,4,Health & Wellness,2023-01-26
TechCorp,Social Media,Men 25-34,45 days,0.14,14574.08,2.59,Washington D.C.,Spanish,675,11691,1,Tech Enthusiasts,2023-01-25
DataTech Solutions,Social Media,Men 25-34,45 days,0.04,13553.33,5.8,Los Ángeles,French,1078,15642,7,Outdoor Adventurers,2023-01-27
DataTech Solutions,Email,Men 25-34,30 days,0.09,14415.77,6.53,Boston,Mandarin,802,9895,5,Health & Wellness,2023-01-30
TechCorp,Social Media,Men 25-34,60 days,0.14,17314.02,4.33,San Francisco,Mandarin,1583,13691,4,Health & Wellness,2023-01-14
Alpha Innovations,Display,Women 35-44,15 days,0.12,15840.48,7.04,Miami,English,457,19451,2,Tech Enthusiasts,2023-01-13
Innovate Industries,Influencer,Men 18-24,60 days,0.06,12870.65,2.46,Washington D.C.,French,1346,18922,1,Outdoor Adventurers,2023-01-13
Alpha Innovations,Search,Men 25-34,60 days,0.05,14261.27,7.68,San Francisco,Spanish,1546,13166,1,Outdoor Adventurers,2023-01-19
Alpha Innovations,Influencer,Women 35-44,15 days,0.05,18821.63,2.41,Seattle,Spanish,409,13751,10,Foodies,2023-01-06
NexGen Systems,Social Media,Women 35-44,15 days,0.11,16250.6,2.79,Nueva York,Spanish,587,14183,6,Foodies,2023-01-28
DataTech Solutions,Influencer,Men 25-34,45 days,0.1,9476.98,5.37,San Francisco,English,1968,12344,4,Tech Enthusiasts,2023-01-20
Innovate Industries,Search,All Ages,30 days,0.15,10548.13,4.83,San Francisco,Mandarin,1346,4821,7,Tech Enthusiasts,2023-01-26
NexGen Systems,Influencer,Men 18-24,30 days,0.12,17621.91,3.62,Washington D.C.,Mandarin,1893,4529,10,Health & Wellness,2023-01-01
Alpha Innovations,Display,All Ages,60 days,0.05,12000.4,2.84,Washington D.C.,German,384,12322,7,Tech Enthusiasts,2023-01-23
TechCorp,Email,Men 18-24,60 days,0.15,7893.69,2.1,Nueva Orleans,Spanish,252,9636,2,Outdoor Adventurers,2023-01-29
Alpha Innovations,Email,Women 25-34,30 days,0.11,13984.41,3.31,Washington D.C.,Mandarin,1894,8894,7,Fashionistas,2023-01-18
NexGen Systems,Email,Women 25-34,30 days,0.06,7487.75,5.26,Seattle,Mandarin,1162,9669,9,Outdoor Adventurers,2023-01-25
NexGen Systems,Influencer,Men 18-24,15 days,0.12,14598.92,4.86,Los Ángeles,Mandarin,1712,1573,9,Tech Enthusiasts,2023-01-04
NexGen Systems,Social Media,Men 18-24,60 days,0.06,14565.35,6.7,Nueva York,German,841,6741,5,Foodies,2023-01-25
Innovate Industries,Influencer,Men 18-24,60 days,0.06,16002.64,2.35,San Francisco,Mandarin,532,12443,10,Health & Wellness,2023-01-21
Innovate Industries,Social Media,Women 35-44,45 days,0.13,19547.6,3.56,San Francisco,Mandarin,1735,5669,8,Foodies,2023-01-22
Alpha Innovations,Display,Women 25-34,60 days,0.01,16850.73,7.99,Los Ángeles,French,407,8174,4,Foodies,2023-01-29
Alpha Innovations,Social Media,Women 25-34,30 days,0.09,14048.36,5.14,Chicago,German,1145,14783,4,Foodies,2023-01-09
DataTech Solutions,Display,Men 18-24,15 days,0.07,15197.74,4.33,Las Vegas,French,1301,8300,2,Foodies,2023-01-10
NexGen Systems,Influencer,Men 18-24,60 days,0.02,8629.29,4.75,Washington D.C.,English,583,12256,6,Fashionistas,2023-01-13
DataTech Solutions,Social Media,Men 25-34,60 days,0.12,11183.26,2.59,Seattle,Mandarin,1736,11720,10,Health & Wellness,2023-01-15
Alpha Innovations,Influencer,Men 18-24,60 days,0.07,18971.19,4.79,Las Vegas,Spanish,774,19153,10,Fashionistas,2023-01-25
NexGen Systems,Search,Women 35-44,60 days,0.02,14652.63,7.53,Los Ángeles,Spanish,873,19470,10,Foodies,2023-01-30
TechCorp,Search,Women 25-34,15 days,0.04,6249.85,4.21,Nueva Orleans,Spanish,540,13773,10,Tech Enthusiasts,2023-01-23
Innovate Industries,Display,Women 25-34,15 days,0.11,17223.38,7.87,San Francisco,German,1581,12039,10,Tech Enthusiasts,2023-01-19
NexGen Systems,Search,Men 25-34,60 days,0.05,17182.27,5.8,San Francisco,English,125,17830,5,Foodies,2023-01-07
DataTech Solutions,Display,Men 18-24,45 days,0.11,18179.99,5.15,Seattle,Spanish,716,10218,9,Fashionistas,2023-01-30
Innovate Industries,Search,Men 25-34,15 days,0.07,8056.04,2.52,San Francisco,Spanish,1275,18167,3,Foodies,2023-01-24
Alpha Innovations,Social Media,Men 25-34,45 days,0.1,14517.28,6.36,Seattle,French,144,12975,9,Fashionistas,2023-01-30
DataTech Solutions,Influencer,Women 25-34,60 days,0.02,18303.88,5.57,Miami,German,960,15816,3,Tech Enthusiasts,2023-01-28
DataTech Solutions,Influencer,All Ages,30 days,0.14,18416.23,7.8,Los Ángeles,English,631,11699,10,Outdoor Adventurers,2023-01-16
NexGen Systems,Email,All Ages,45 days,0.01,17064.18,2.87,Washington D.C.,German,1261,17464,6,Tech Enthusiasts,2023-01-27
TechCorp,Search,Men 25-34,60 days,0.04,8572.13,2.27,Seattle,Spanish,1949,14838,4,Outdoor Adventurers,2023-01-28
Innovate Industries,Display,Men 18-24,45 days,0.12,6605.53,6.93,San Francisco,English,1833,19726,6,Foodies,2023-01-20
Alpha Innovations,Display,Women 35-44,45 days,0.04,14121.78,3.61,Las Vegas,French,406,11508,3,Tech Enthusiasts,2023-01-13
DataTech Solutions,Display,Men 18-24,15 days,0.11,7272.5,6.83,Los Ángeles,French,801,12664,5,Outdoor Adventurers,2023-01-12
Alpha Innovations,Search,All Ages,45 days,0.08,19850.89,5.91,Washington D.C.,Spanish,602,4846,5,Outdoor Adventurers,2023-01-25
Innovate Industries,Display,Men 18-24,60 days,0.03,6808.98,5.0,Seattle,French,797,12759,10,Foodies,2023-01-08
TechCorp,Social Media,All Ages,30 days,0.07,18688.98,7.91,Seattle,English,336,9745,9,Foodies,2023-01-15
TechCorp,Social Media,Men 25-34,30 days,0.12,17968.71,5.98,Washington D.C.,German,1049,8240,9,Health & Wellness,2023-01-03
NexGen Systems,Social Media,Men 25-34,45 days,0.14,13219.31,3.28,Nueva Orleans,French,1741,2733,6,Health & Wellness,2023-01-22
NexGen Systems,Search,Women 25-34,60 days,0.09,10329.6,5.22,Los Ángeles,English,1923,19448,1,Fashionistas,2023-01-21
NexGen Systems,Search,Men 25-34,15 days,0.02,19588.51,5.83,Seattle,English,1090,17462,7,Foodies,2023-01-21
DataTech Solutions,Influencer,All Ages,15 days,0.1,5350.8,2.38,Nueva York,Mandarin,442,1252,9,Tech Enthusiasts,2023-01-09
DataTech Solutions,Social Media,Women 25-34,30 days,0.03,11606.8,4.94,Nueva Orleans,German,1617,5908,6,Tech Enthusiasts,2023-01-06
Innovate Industries,Search,Men 18-24,30 days,0.08,12599.52,5.36,Los Ángeles,French,656,3012,10,Tech Enthusiasts,2023-01-26
Alpha Innovations,Social Media,Women 25-34,15 days,0.04,5218.25,7.51,Nueva Orleans,Spanish,1511,5379,3,Outdoor Adventurers,2023-01-04
