Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
TechCorp,Social Media,Men 25-34,30 days,0.07,18322.54,6.97,Seattle,Mandarin,523,10825,1,Outdoor Adventurers,2023-02-16
NexGen Systems,Email,All Ages,60 days,0.06,12524.52,7.28,Las Vegas,German,983,3518,10,Outdoor Adventurers,2023-02-17
NexGen Systems,Influencer,Men 25-34,60 days,0.03,18484.85,6.55,Washington D.C.,French,331,13636,3,Outdoor Adventurers,2023-02-13
DataTech Solutions,Influencer,Men 18-24,60 days,0.13,12700.93,6.68,Washington D.C.,German,931,8062,1,Foodies,2023-02-09
DataTech Solutions,Influencer,Men 25-34,30 days,0.07,9843.28,7.84,Nueva Orleans,Spanish,1072,4606,8,Outdoor Adventurers,2023-02-24
DataTech Solutions,Influencer,Men 18-24,30 days,0.1,14733.23,4.24,Nueva Orleans,Mandarin,1815,16689,8,Foodies,2023-02-25
Alpha Innovations,Search,Men 25-34,15 days,0.08,19216.98,6.29,Washington D.C.,Spanish,661,11224,6,Health & Wellness,2023-02-06
Innovate Industries,Search,Men 25-34,30 days,0.01,11447.91,6.31,Miami,French,1344,12620,7,Outdoor Adventurers,2023-02-13
DataTech Solutions,Search,Men 18-24,45 days,0.02,12916.75,4.11,Nueva Orleans,French,1449,9665,10,Tech Enthusiasts,2023-02-13
NexGen Systems,Influencer,Men 18-24,60 days,0.12,18320.3,5.11,Los Ángeles,Spanish,832,9516,10,Fashionistas,2023-02-26
TechCorp,Display,Women 25-34,60 days,0.02,17746.81,5.98,Miami,Mandarin,202,10969,7,Fashionistas,2023-02-25
Alpha Innovations,Email,Men 18-24,45 days,0.02,11381.1,3.55,Nueva Orleans,Spanish,1284,11771,5,Fashionistas,2023-02-09
NexGen Systems,Email,Women 25-34,30 days,0.03,5056.13,3.08,Seattle,English,1637,16188,5,Tech Enthusiasts,2023-02-19
TechCorp,Email,Men 25-34,45 days,0.11,9559.3,2.65,Miami,Spanish,1912,19425,6,Fashionistas,2023-02-13
Innovate Industries,Search,Women 25-34,60 days,0.04,15528.85,4.83,Washington D.C.,Mandarin,732,19570,2,Fashionistas,2023-02-15
NexGen Systems,Influencer,Women 25-34,15 days,0.05,5925.04,4.67,Nueva Orleans,Mandarin,490,1931,7,Foodies,2023-02-03
Innovate Industries,Display,Women 25-34,60 days,0.07,7059.57,3.53,Boston,English,968,15221,5,Fashionistas,2023-02-16
TechCorp,Display,Men 18-24,15 days,0.12,18751.73,5.89,San Francisco,German,409,7058,3,Foodies,2023-02-06
Innovate Industries,Search,Women 35-44,30 days,0.15,6873.92,7.46,Chicago,German,1024,12876,5,Fashionistas,2023-02-10
Innovate Industries,Search,All Ages,45 days,0.05,5800.75,7.26,Chicago,French,357,13604,6,Health & Wellness,2023-02-09
