Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
NexGen Systems,Influencer,All Ages,15 days,0.12,5359.95,7.08,Los Ángeles,French,1154,10039,1,Foodies,2023-11-16
NexGen Systems,Influencer,All Ages,60 days,0.11,19398.11,4.6,Chicago,Spanish,266,13238,9,Outdoor Adventurers,2023-11-12
DataTech Solutions,Search,Women 25-34,30 days,0.05,19847.18,5.29,Chicago,German,1405,6718,8,Tech Enthusiasts,2023-11-09
NexGen Systems,Social Media,Women 25-34,60 days,0.11,12607.69,5.55,Las Vegas,Spanish,243,12517,8,Foodies,2023-11-12
TechCorp,Email,Men 18-24,45 days,0.11,19590.53,5.38,Las Vegas,German,596,18810,7,Tech Enthusiasts,2023-11-07
NexGen Systems,Social Media,Men 25-34,15 days,0.06,9456.34,7.02,San Francisco,English,1257,12767,1,Outdoor Adventurers,2023-11-20
NexGen Systems,Influencer,All Ages,30 days,0.03,17089.89,3.31,Nueva Orleans,Mandarin,654,11183,1,Health & Wellness,2023-11-28
TechCorp,Social Media,Women 35-44,15 days,0.02,18283.09,2.57,Las Vegas,French,697,1371,2,Fashionistas,2023-11-29
NexGen Systems,Search,Men 25-34,30 days,0.13,16237.0,6.58,Nueva York,German,744,19607,2,Health & Wellness,2023-11-12
Alpha Innovations,Email,All Ages,30 days,0.14,10677.4,3.15,Washington D.C.,Spanish,618,18277,2,Tech Enthusiasts,2023-11-20
DataTech Solutions,Search,Men 18-24,45 days,0.11,13639.71,2.87,Nueva Orleans,English,1436,4114,9,Fashionistas,2023-11-05
DataTech Solutions,Search,Women 25-34,30 days,0.04,12806.55,6.74,Chicago,Spanish,1265,1869,7,Outdoor Adventurers,2023-11-09
Innovate Industries,Display,Men 25-34,15 days,0.11,17217.36,3.38,Washington D.C.,German,1914,19026,6,Foodies,2023-11-28
DataTech Solutions,Influencer,Women 25-34,45 days,0.02,15125.02,6.51,Nueva York,Mandarin,562,13367,8,Fashionistas,2023-11-11
Innovate Industries,Social Media,Men 25-34,45 days,0.1,18988.36,5.77,Boston,French,1530,3852,8,Outdoor Adventurers,2023-11-09
TechCorp,Influencer,All Ages,15 days,0.06,11915.68,4.98,San Francisco,Spanish,1632,11595,3,Foodies,2023-11-25
DataTech Solutions,Display,Men 25-34,15 days,0.14,7063.74,5.29,Nueva Orleans,French,1553,3978,10,Health & Wellness,2023-11-17
Innovate Industries,Email,Men 25-34,45 days,0.04,13152.11,7.02,Miami,French,1673,10280,9,Outdoor Adventurers,2023-11-09
Innovate Industries,Search,Women 35-44,45 days,0.04,18088.89,3.97,Los Ángeles,French,1069,9397,1,Foodies,2023-11-22
TechCorp,Social Media,Men 25-34,30 days,0.14,19361.15,2.87,Seattle,French,136,8867,5,Health & Wellness,2023-11-24
Innovate Industries,Social Media,Women 25-34,45 days,0.13,9172.85,6.91,Chicago,German,278,18877,3,Fashionistas,2023-11-25
DataTech Solutions,Influencer,Men 18-24,15 days,0.06,17372.3,7.54,Seattle,German,1494,5133,4,Fashionistas,2023-11-15
DataTech Solutions,Influencer,Women 35-44,30 days,0.12,12668.8,5.67,San Francisco,German,396,10526,4,Foodies,2023-11-28
NexGen Systems,Display,Women 25-34,15 days,0.14,12553.08,6.92,San Francisco,German,1364,16422,6,Fashionistas,2023-11-19
TechCorp,Email,Men 18-24,15 days,0.03,17006.68,2.39,Chicago,Mandarin,1061,4244,6,Tech Enthusiasts,2023-11-15
Innovate Industries,Display,All Ages,30 days,0.01,8626.78,6.04,Washington D.C.,French,1971,17010,8,Health & Wellness,2023-11-02
NexGen Systems,Display,Men 25-34,60 days,0.05,17145.44,6.71,Nueva Orleans,Spanish,1180,1876,2,Fashionistas,2023-11-03
Innovate Industries,Social Media,Women 25-34,45 days,0.1,16558.61,2.02,Nueva Orleans,German,1615,2701,4,Tech Enthusiasts,2023-11-27
Alpha Innovations,Social Media,Men 18-24,60 days,0.03,11064.68,5.56,Washington D.C.,English,946,10243,10,Fashionistas,2023-11-19
DataTech Solutions,Influencer,Men 18-24,45 days,0.13,10792.99,2.64,Nueva York,Mandarin,1315,8327,6,Foodies,2023-11-17
NexGen Systems,Influencer,Women 35-44,45 days,0.15,10301.43,2.73,Nueva York,Mandarin,1763,14084,2,Health & Wellness,2023-11-06
