Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
TechCorp,Search,All Ages,60 days,0.1,6585.72,5.98,Washington D.C.,French,501,1912,4,Foodies,2023-10-01
Alpha Innovations,Display,Men 25-34,15 days,0.1,15191.86,5.87,Miami,English,1507,11201,2,Foodies,2023-10-22
TechCorp,Display,Men 25-34,15 days,0.15,13937.43,6.27,Miami,Mandarin,828,3764,8,Foodies,2023-10-08
NexGen Systems,Display,Women 25-34,60 days,0.01,6753.8,5.14,Nueva York,Mandarin,1992,14997,4,Outdoor Adventurers,2023-10-30
NexGen Systems,Influencer,Men 25-34,30 days,0.14,19574.91,5.49,Nueva Orleans,Spanish,805,12058,9,Tech Enthusiasts,2023-10-27
DataTech Solutions,Influencer,Men 18-24,45 days,0.08,18933.92,2.5,Las Vegas,Mandarin,1720,14168,6,Tech Enthusiasts,2023-10-29
NexGen Systems,Social Media,Women 25-34,15 days,0.05,10218.09,4.88,Miami,English,651,19855,1,Health & Wellness,2023-10-24
NexGen Systems,Social Media,Women 25-34,45 days,0.12,15991.04,5.45,Nueva York,French,1412,14577,3,Health & Wellness,2023-10-14
TechCorp,Email,Men 18-24,15 days,0.01,5683.95,6.0,Los Ángeles,German,1439,2311,4,Foodies,2023-10-28
Alpha Innovations,Display,Men 25-34,45 days,0.09,12473.03,2.92,Boston,Spanish,245,3740,4,Health & Wellness,2023-10-04
TechCorp,Display,All Ages,30 days,0.03,15325.05,2.33,Washington D.C.,French,1535,9233,9,Health & Wellness,2023-10-29
DataTech Solutions,Display,Women 35-44,30 days,0.03,5233.97,3.53,San Francisco,French,512,17607,9,Health & Wellness,2023-10-30
TechCorp,Search,Women 35-44,30 days,0.13,12808.27,3.34,Chicago,French,1906,1955,5,Fashionistas,2023-10-02
Innovate Industries,Influencer,Men 25-34,15 days,0.05,7938.89,4.04,Nueva Orleans,Mandarin,1359,8721,7,Fashionistas,2023-10-01
TechCorp,Search,All Ages,15 days,0.06,11238.78,4.6,Nueva York,German,342,9520,9,Fashionistas,2023-10-16
Innovate Industries,Display,Women 25-34,45 days,0.04,5146.88,4.85,Los Ángeles,French,522,13126,9,Fashionistas,2023-10-19
NexGen Systems,Display,Women 35-44,15 days,0.03,5107.98,7.87,Las Vegas,Mandarin,1035,6475,2,Tech Enthusiasts,2023-10-18
DataTech Solutions,Search,Men 25-34,60 days,0.09,19795.78,5.65,Los Ángeles,German,426,19470,4,Health & Wellness,2023-10-10
