Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
DataTech Solutions,Display,Women 25-34,15 days,0.14,14410.92,7.51,Los Ángeles,Mandarin,419,6010,1,Tech Enthusiasts,2023-11-07
Innovate Industries,Influencer,Women 25-34,30 days,0.14,6282.28,5.21,Miami,Mandarin,1958,12406,2,Health & Wellness,2023-11-11
Innovate Industries,Display,Men 25-34,15 days,0.08,9162.11,3.64,Chicago,French,139,18810,1,Outdoor Adventurers,2023-11-17
Alpha Innovations,Social Media,Women 35-44,30 days,0.06,17353.76,2.62,Nueva Orleans,English,1247,18384,7,Health & Wellness,2023-11-17
NexGen Systems,Display,Men 25-34,15 days,0.02,10449.19,4.42,Seattle,French,429,1060,2,Health & Wellness,2023-11-19
DataTech Solutions,Influencer,Women 35-44,30 days,0.01,19044.99,7.89,Miami,German,1147,6750,1,Tech Enthusiasts,2023-11-22
Alpha Innovations,Email,Men 18-24,15 days,0.12,13985.45,2.21,Miami,English,602,13401,2,Foodies,2023-11-13
DataTech Solutions,Email,Men 25-34,30 days,0.08,12833.35,5.14,Los Ángeles,Mandarin,233,7991,7,Health & Wellness,2023-11-10
NexGen Systems,Search,Men 25-34,45 days,0.09,8918.63,3.26,Nueva Orleans,Mandarin,246,9959,5,Tech Enthusiasts,2023-11-23
Innovate Industries,Influencer,Women 35-44,30 days,0.09,18016.33,2.81,Los Ángeles,English,808,8115,10,Outdoor Adventurers,2023-11-14
DataTech Solutions,Search,Women 35-44,30 days,0.07,6978.76,4.41,Nueva Orleans,French,1505,8729,1,Foodies,2023-11-17
DataTech Solutions,Email,Men 18-24,60 days,0.12,8130.81,3.11,Seattle,English,1833,2894,7,Fashionistas,2023-11-15
TechCorp,Email,Women 25-34,15 days,0.07,12057.5,7.71,Nueva York,German,1042,18422,2,Foodies,2023-11-10
NexGen Systems,Display,All Ages,60 days,0.14,15215.45,6.13,Nueva York,French,1764,3560,10,Foodies,2023-11-21
Innovate Industries,Influencer,Women 35-44,15 days,0.07,11979.42,4.0,Boston,English,1210,10073,5,Health & Wellness,2023-11-28
Alpha Innovations,Search,Women 25-34,30 days,0.02,5193.0,5.21,Chicago,English,1598,12738,9,Foodies,2023-11-08
NexGen Systems,Social Media,Men 25-34,30 days,0.1,8339.7,3.92,Seattle,German,1269,9777,3,Outdoor Adventurers,2023-11-14
NexGen Systems,Social Media,Women 35-44,60 days,0.08,14132.24,6.6,San Francisco,English,1091,19468,5,Outdoor Adventurers,2023-11-23
DataTech Solutions,Influencer,Men 25-34,45 days,0.14,8037.29,6.73,San Francisco,German,116,4734,6,Foodies,2023-11-02
DataTech Solutions,Display,Men 25-34,30 days,0.11,11704.53,3.86,Seattle,English,1718,15453,10,Foodies,2023-11-06
Alpha Innovations,Search,Women 35-44,30 days,0.14,12917.73,4.91,Miami,English,789,8743,1,Outdoor Adventurers,2023-11-08
DataTech Solutions,Social Media,Women 25-34,30 days,0.07,13872.02,7.03,Nueva Orleans,Mandarin,936,16156,6,Tech Enthusiasts,2023-11-02
DataTech Solutions,Search,Men 25-34,60 days,0.01,5383.99,2.42,Boston,Mandarin,1971,18169,4,Foodies,2023-11-27
DataTech Solutions,Influencer,All Ages,15 days,0.05,13916.85,4.09,Seattle,English,750,7429,10,Outdoor Adventurers,2023-11-13
TechCorp,Influencer,Men 25-34,15 days,0.1,17414.03,4.79,Nueva Orleans,Mandarin,1457,17954,6,Fashionistas,2023-11-26
TechCorp,Social Media,All Ages,15 days,0.08,8205.95,2.06,Boston,French,1694,10978,5,Foodies,2023-11-09
Alpha Innovations,Email,Men 18-24,45 days,0.11,13986.14,4.44,Las Vegas,German,1296,9181,10,Tech Enthusiasts,2023-11-19
NexGen Systems,Social Media,Women 35-44,45 days,0.07,18872.94,5.43,Las Vegas,German,850,9535,10,Outdoor Adventurers,2023-11-27
DataTech Solutions,Email,Women 25-34,45 days,0.05,12430.96,3.83,San Francisco,German,346,10805,3,Foodies,2023-11-03
DataTech Solutions,Email,All Ages,30 days,0.01,8928.92,5.49,Miami,German,920,4931,3,Foodies,2023-11-25
Innovate Industries,Email,All Ages,60 days,0.05,15764.9,5.19,San Francisco,French,172,19907,4,Health & Wellness,2023-11-03
Alpha Innovations,Search,All Ages,60 days,0.13,15962.11,5.95,San Francisco,English,1730,10394,9,Health & Wellness,2023-11-29
DataTech Solutions,Display,Men 18-24,60 days,0.15,16416.49,5.81,Nueva Orleans,Mandarin,748,18239,4,Health & Wellness,2023-11-29
TechCorp,Search,Women 25-34,45 days,0.03,17475.62,7.57,San Francisco,Spanish,1474,3551,3,Fashionistas,2023-11-16
Alpha Innovations,Social Media,Men 25-34,45 days,0.05,12086.85,7.69,Chicago,Spanish,552,7327,9,Foodies,2023-11-26
TechCorp,Influencer,Men 25-34,30 days,0.15,14505.16,4.33,Miami,Mandarin,966,8111,5,Foodies,2023-11-03
DataTech Solutions,Influencer,Men 25-34,45 days,0.04,16126.69,3.69,Chicago,French,841,4768,10,Outdoor Adventurers,2023-11-27
Innovate Industries,Email,All Ages,45 days,0.06,16911.74,2.18,Washington D.C.,Spanish,806,3271,2,Health & Wellness,2023-11-05
DataTech Solutions,Social Media,Women 35-44,45 days,0.11,10109.02,7.52,San Francisco,English,1934,16611,7,Fashionistas,2023-11-04
NexGen Systems,Display,Women 25-34,15 days,0.15,15544.51,5.97,Chicago,French,1089,3266,5,Outdoor Adventurers,2023-11-18
DataTech Solutions,Email,Women 35-44,30 days,0.11,17343.05,4.18,Seattle,Mandarin,1283,15082,7,Fashionistas,2023-11-24
DataTech Solutions,Influencer,Men 18-24,45 days,0.14,11176.45,4.56,Nueva York,Mandarin,390,13367,1,Health & Wellness,2023-11-28
Alpha Innovations,Display,All Ages,15 days,0.14,14109.84,3.22,Nueva Orleans,German,1136,11793,2,Outdoor Adventurers,2023-11-15
Innovate Industries,Influencer,All Ages,60 days,0.09,9564.8,7.26,Chicago,German,989,1276,1,Foodies,2023-11-22
NexGen Systems,Influencer,Women 35-44,60 days,0.03,11684.77,5.58,Las Vegas,German,1753,18362,6,Outdoor Adventurers,2023-11-18
Alpha Innovations,Display,Women 25-34,45 days,0.06,5512.35,4.11,Washington D.C.,German,453,12192,8,Foodies,2023-11-18
Innovate Industries,Social Media,Women 25-34,45 days,0.09,6455.91,3.74,Nueva York,German,1881,11728,8,Tech Enthusiasts,2023-11-14
Alpha Innovations,Search,Men 18-24,60 days,0.04,6870.8,4.77,Las Vegas,English,397,16985,8,Fashionistas,2023-11-07
Innovate Industries,Search,Men 25-34,30 days,0.14,16533.52,7.02,Nueva York,German,1184,5392,4,Outdoor Adventurers,2023-11-09
Alpha Innovations,Influencer,Men 25-34,45 days,0.01,17057.1,6.57,Washington D.C.,French,1398,16941,7,Outdoor Adventurers,2023-11-28
TechCorp,Influencer,Women 25-34,60 days,0.07,10780.95,5.37,Nueva Orleans,Spanish,1513,7441,3,Outdoor Adventurers,2023-11-16
Innovate Industries,Display,Men 25-34,15 days,0.01,18581.9,4.62,Miami,French,1064,8976,10,Foodies,2023-11-13
TechCorp,Influencer,Women 25-34,30 days,0.07,9416.57,7.02,Las Vegas,Mandarin,1410,4967,5,Tech Enthusiasts,2023-11-16
Alpha Innovations,Display,Men 25-34,30 days,0.07,18303.81,3.88,Seattle,French,919,17299,1,Tech Enthusiasts,2023-11-13
NexGen Systems,Search,All Ages,60 days,0.13,5206.45,7.5,Las Vegas,Mandarin,698,1230,6,Health & Wellness,2023-11-14
DataTech Solutions,Display,Women 35-44,45 days,0.03,6264.9,7.67,Las Vegas,French,517,18724,5,Fashionistas,2023-11-08
NexGen Systems,Search,Women 25-34,45 days,0.06,12964.65,5.47,Los Ángeles,Mandarin,583,6857,9,Tech Enthusiasts,2023-11-16
NexGen Systems,Email,Women 25-34,15 days,0.06,14501.89,4.43,Chicago,German,108,13118,10,Health & Wellness,2023-11-23
DataTech Solutions,Social Media,Women 35-44,45 days,0.03,17129.25,3.13,Nueva Orleans,Mandarin,1852,17278,4,Foodies,2023-11-20
NexGen Systems,Social Media,Women 25-34,45 days,0.13,12914.9,6.11,Los Ángeles,French,1770,9982,7,Outdoor Adventurers,2023-11-28
TechCorp,Email,Men 25-34,60 days,0.15,15236.83,7.34,Chicago,French,1599,9559,1,Tech Enthusiasts,2023-11-17
Alpha Innovations,Search,Men 18-24,60 days,0.03,15016.05,2.84,Las Vegas,Mandarin,764,18452,3,Outdoor Adventurers,2023-11-09
TechCorp,Search,Men 18-24,30 days,0.06,19825.05,3.4,Seattle,Spanish,177,19654,8,Fashionistas,2023-11-24
Alpha Innovations,Influencer,Women 35-44,30 days,0.02,17077.53,6.94,Nueva Orleans,Mandarin,435,15746,9,Tech Enthusiasts,2023-11-24
Innovate Industries,Display,Women 25-34,45 days,0.05,13618.25,3.95,Los Ángeles,Mandarin,1391,16644,8,Tech Enthusiasts,2023-11-06
NexGen Systems,Search,All Ages,60 days,0.1,16320.55,3.56,San Francisco,Spanish,731,11033,7,Tech Enthusiasts,2023-11-04
DataTech Solutions,Social Media,Men 18-24,15 days,0.05,17744.47,2.44,San Francisco,German,1992,17217,2,Tech Enthusiasts,2023-11-23
DataTech Solutions,Email,All Ages,45 days,0.09,10970.37,6.15,Washington D.C.,French,1517,7895,6,Fashionistas,2023-11-24
DataTech Solutions,Social Media,Women 35-44,45 days,0.04,7834.27,2.35,Los Ángeles,German,1847,4036,10,Outdoor Adventurers,2023-11-11
TechCorp,Social Media,All Ages,30 days,0.08,12949.03,2.8,Nueva Orleans,Spanish,906,11110,9,Tech Enthusiasts,2023-11-18
NexGen Systems,Social Media,Men 25-34,30 days,0.05,19722.97,7.4,Las Vegas,Mandarin,742,9848,9,Tech Enthusiasts,2023-11-18
Innovate Industries,Social Media,Men 25-34,45 days,0.12,9913.56,7.89,Washington D.C.,Mandarin,1185,15159,7,Outdoor Adventurers,2023-11-16
Alpha Innovations,Influencer,Women 25-34,45 days,0.13,14615.74,6.13,Miami,German,1042,1620,2,Fashionistas,2023-11-26
DataTech Solutions,Social Media,Women 35-44,60 days,0.11,6135.79,6.44,Chicago,English,322,7786,3,Tech Enthusiasts,2023-11-29
NexGen Systems,Display,Men 18-24,15 days,0.08,14033.78,6.71,San Francisco,German,1355,18621,3,Tech Enthusiasts,2023-11-03
Innovate Industries,Influencer,All Ages,45 days,0.13,15979.19,5.93,Los Ángeles,English,1262,17986,4,Foodies,2023-11-16
NexGen Systems,Email,Women 25-34,30 days,0.05,16157.73,5.93,Chicago,Mandarin,1563,6111,5,Health & Wellness,2023-11-23
Innovate Industries,Social Media,Women 35-44,30 days,0.02,19105.02,3.71,Nueva Orleans,Mandarin,177,15909,8,Outdoor Adventurers,2023-11-12
TechCorp,Social Media,Men 25-34,15 days,0.06,17721.04,5.47,Las Vegas,Spanish,312,4912,10,Fashionistas,2023-11-21
