Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
TechCorp,Influencer,Women 25-34,45 days,0.1,7830.26,3.08,Las Vegas,French,318,14797,3,Outdoor Adventurers,2022-07-04
Innovate Industries,Display,Women 35-44,30 days,0.14,7280.29,2.78,Washington D.C.,Spanish,867,16619,7,Health & Wellness,2022-07-07
Innovate Industries,Search,Women 35-44,60 days,0.02,5416.28,3.01,Miami,German,847,15259,8,Health & Wellness,2022-07-09
NexGen Systems,Email,Men 18-24,45 days,0.02,8516.28,3.5,Los Ángeles,Mandarin,1407,11545,3,Foodies,2022-07-16
TechCorp,Influencer,Women 25-34,45 days,0.05,15356.44,5.85,Los Ángeles,Mandarin,1510,16713,3,Fashionistas,2022-07-09
NexGen Systems,Influencer,Women 35-44,15 days,0.1,8799.11,7.11,Nueva York,English,473,4379,5,Foodies,2022-07-29
NexGen Systems,Influencer,Men 18-24,60 days,0.06,7191.8,4.27,Chicago,Spanish,1020,18197,7,Foodies,2022-07-16
NexGen Systems,Display,Men 18-24,30 days,0.11,7671.24,5.7,Washington D.C.,Mandarin,597,10483,1,Tech Enthusiasts,2022-07-12
NexGen Systems,Email,Women 25-34,15 days,0.06,8540.51,4.72,Las Vegas,English,1477,12058,4,Tech Enthusiasts,2022-07-05
TechCorp,Display,Men 18-24,60 days,0.02,7325.26,6.95,Nueva Orleans,English,1731,6256,1,Tech Enthusiasts,2022-07-18
Alpha Innovations,Social Media,Men 18-24,30 days,0.11,8291.0,6.1,Las Vegas,German,560,1385,10,Health & Wellness,2022-07-24
Innovate Industries,Social Media,Women 35-44,30 days,0.14,9366.07,4.37,Nueva Orleans,Spanish,1979,8838,6,Foodies,2022-07-11
DataTech Solutions,Search,Men 18-24,60 days,0.15,18842.69,6.67,Miami,English,1654,8294,8,Foodies,2022-07-03
TechCorp,Social Media,Women 35-44,15 days,0.04,8771.64,3.49,Seattle,German,1152,7816,1,Fashionistas,2022-07-16
NexGen Systems,Email,Men 25-34,30 days,0.15,6461.89,7.34,Nueva York,Mandarin,1051,4035,10,Tech Enthusiasts,2022-07-27
TechCorp,Email,Women 35-44,60 days,0.08,10613.54,7.08,San Francisco,French,1254,11888,2,Health & Wellness,2022-07-27
DataTech Solutions,Email,Women 25-34,15 days,0.15,17602.13,6.21,Boston,German,618,15471,8,Outdoor Adventurers,2022-07-18
Alpha Innovations,Email,Men 25-34,15 days,0.05,5987.95,3.03,Los Ángeles,French,1495,18313,4,Foodies,2022-07-01
Alpha Innovations,Influencer,Men 25-34,30 days,0.13,10338.17,2.98,Los Ángeles,Mandarin,1646,11118,3,Fashionistas,2022-07-26
DataTech Solutions,Social Media,Men 18-24,60 days,0.04,16433.31,4.6,Nueva York,French,863,12418,1,Health & Wellness,2022-07-22
Innovate Industries,Email,All Ages,45 days,0.13,7856.56,4.05,Nueva York,Mandarin,770,4486,5,Tech Enthusiasts,2022-07-23
TechCorp,Influencer,Women 25-34,30 days,0.06,14202.55,4.05,Nueva York,French,1215,12387,1,Health & Wellness,2022-07-10
NexGen Systems,Social Media,All Ages,30 days,0.13,6490.92,3.47,San Francisco,Spanish,1192,8909,4,Tech Enthusiasts,2022-07-20
Innovate Industries,Display,Men 25-34,60 days,0.15,11665.73,7.73,Washington D.C.,German,666,5873,10,Foodies,2022-07-07
NexGen Systems,Display,Men 18-24,60 days,0.01,12372.71,2.01,Chicago,Spanish,1275,17634,2,Tech Enthusiasts,2022-07-22
TechCorp,Display,Men 25-34,30 days,0.15,15809.24,7.54,Nueva York,German,801,18172,6,Fashionistas,2022-07-18
Innovate Industries,Social Media,Women 35-44,60 days,0.11,6832.56,4.02,Chicago,German,522,17938,5,Fashionistas,2022-07-14
Alpha Innovations,Email,All Ages,15 days,0.14,9602.24,2.08,Seattle,Spanish,1463,10370,1,Foodies,2022-07-24
DataTech Solutions,Display,Men 18-24,30 days,0.13,7869.43,3.57,Washington D.C.,English,1062,13625,10,Outdoor Adventurers,2022-07-28
Alpha Innovations,Social Media,Men 25-34,30 days,0.04,10085.69,4.41,Washington D.C.,French,723,10184,7,Foodies,2022-07-09
Alpha Innovations,Search,All Ages,45 days,0.13,5919.62,4.77,Chicago,Mandarin,779,9380,1,Fashionistas,2022-07-11
NexGen Systems,Influencer,All Ages,60 days,0.12,14272.46,7.1,Las Vegas,English,200,11025,9,Health & Wellness,2022-07-17
TechCorp,Email,All Ages,60 days,0.09,12497.4,6.18,Miami,Mandarin,980,19736,2,Tech Enthusiasts,2022-07-18
TechCorp,Social Media,Men 25-34,30 days,0.03,18817.86,5.67,Los Ángeles,Spanish,1064,13398,6,Foodies,2022-07-02
TechCorp,Influencer,Men 25-34,30 days,0.09,12176.48,6.28,Miami,Spanish,940,16596,3,Fashionistas,2022-07-19
Innovate Industries,Email,Men 18-24,30 days,0.08,10610.2,3.98,Chicago,German,129,10185,9,Health & Wellness,2022-07-29
Alpha Innovations,Email,All Ages,60 days,0.03,10418.07,4.96,Los Ángeles,German,796,8041,9,Foodies,2022-07-08
Innovate Industries,Influencer,Women 35-44,60 days,0.06,19345.03,5.83,Seattle,Mandarin,1802,2742,9,Tech Enthusiasts,2022-07-07
DataTech Solutions,Display,Men 18-24,60 days,0.04,15889.01,6.42,Nueva Orleans,Spanish,384,8915,3,Fashionistas,2022-07-17
DataTech Solutions,Display,All Ages,15 days,0.05,8100.61,5.13,Boston,Spanish,372,2014,2,Tech Enthusiasts,2022-07-01
DataTech Solutions,Search,Men 25-34,60 days,0.12,12608.1,2.63,Washington D.C.,Spanish,1790,6649,8,Foodies,2022-07-19
NexGen Systems,Search,Men 18-24,45 days,0.04,13229.36,4.24,Chicago,French,1026,3548,8,Foodies,2022-07-30
TechCorp,Display,Women 25-34,60 days,0.11,16950.39,6.73,Los Ángeles,Spanish,1467,11361,10,Health & Wellness,2022-07-03
Alpha Innovations,Display,Men 18-24,15 days,0.03,12834.05,6.74,Las Vegas,Mandarin,375,13273,8,Fashionistas,2022-07-24
NexGen Systems,Email,Men 25-34,60 days,0.03,5944.2,6.42,Los Ángeles,German,664,15219,8,Foodies,2022-07-22
Innovate Industries,Social Media,All Ages,30 days,0.04,10966.53,3.91,Los Ángeles,German,1269,1213,7,Tech Enthusiasts,2022-07-20
Alpha Innovations,Email,Women 35-44,30 days,0.03,8765.62,2.08,Miami,German,1478,6041,4,Fashionistas,2022-07-29
Alpha Innovations,Search,Women 35-44,30 days,0.02,5968.69,6.28,Boston,Mandarin,271,19493,3,Foodies,2022-07-28
Alpha Innovations,Influencer,Men 25-34,15 days,0.13,19616.02,6.68,Seattle,German,483,5723,7,Health & Wellness,2022-07-24
DataTech Solutions,Email,Men 25-34,45 days,0.06,5354.04,7.01,Nueva Orleans,Mandarin,879,11624,10,Fashionistas,2022-07-13
DataTech Solutions,Social Media,Men 18-24,45 days,0.15,8486.45,4.83,San Francisco,French,453,19844,7,Foodies,2022-07-17
NexGen Systems,Email,Men 18-24,30 days,0.05,19149.54,3.25,Los Ángeles,Mandarin,1685,7657,7,Tech Enthusiasts,2022-07-17
NexGen Systems,Search,Women 35-44,30 days,0.07,13343.28,5.56,Las Vegas,French,345,19087,6,Outdoor Adventurers,2022-07-19
Alpha Innovations,Search,Men 18-24,15 days,0.06,13271.38,2.39,Boston,French,895,3754,1,Health & Wellness,2022-07-20
Innovate Industries,Search,Men 25-34,15 days,0.03,17458.82,5.89,Los Ángeles,French,1235,3248,4,Outdoor Adventurers,2022-07-24
