Company,Campaign_Type,Target_Audience,Duration,Conversion_Rate,Acquisition_Cost,ROI,Location,Language,Clicks,Impressions,Engagement_Score,Customer_Segment,Date
TechCorp,Display,Women 25-34,30 days,0.06,15281.62,3.76,Nueva Orleans,Mandarin,762,12578,7,Health & Wellness,2023-06-21
Alpha Innovations,Social Media,Women 25-34,15 days,0.13,17938.63,4.15,Nueva Orleans,Mandarin,1416,15520,6,Fashionistas,2023-06-02
Alpha Innovations,Search,All Ages,15 days,0.11,9030.82,5.39,Seattle,French,1565,9038,1,Foodies,2023-06-11
TechCorp,Email,Women 35-44,45 days,0.07,16182.3,2.04,San Francisco,German,1993,6920,2,Fashionistas,2023-06-03
Innovate Industries,Display,Women 35-44,60 days,0.05,19638.27,3.7,Miami,English,283,14555,9,Foodies,2023-06-29
Alpha Innovations,Display,All Ages,60 days,0.15,17048.57,6.77,Nueva York,Spanish,655,6280,3,Outdoor Adventurers,2023-06-22
TechCorp,Social Media,Men 25-34,45 days,0.07,9929.7,6.06,Los Ángeles,German,1093,8012,10,Tech Enthusiasts,2023-06-25
DataTech Solutions,Social Media,Men 18-24,45 days,0.02,9389.89,7.51,San Francisco,French,1100,10444,2,Outdoor Adventurers,2023-06-15
NexGen Systems,Social Media,Men 25-34,45 days,0.04,5501.29,7.57,Chicago,German,1777,2853,4,Foodies,2023-06-25
DataTech Solutions,Display,Women 25-34,30 days,0.03,13298.05,7.13,San Francisco,Mandarin,237,12622,1,Fashionistas,2023-06-22
NexGen Systems,Social Media,Men 25-34,45 days,0.05,8285.12,5.49,Washington D.C.,Mandarin,934,7975,9,Health & Wellness,2023-06-21
DataTech Solutions,Social Media,All Ages,15 days,0.08,9525.04,3.44,Miami,Spanish,1111,12600,10,Outdoor Adventurers,2023-06-26
NexGen Systems,Email,All Ages,15 days,0.08,5842.47,4.66,Nueva York,English,1114,13295,7,Outdoor Adventurers,2023-06-05
Alpha Innovations,Display,Women 35-44,45 days,0.14,15007.61,3.51,Seattle,German,1536,15252,8,Tech Enthusiasts,2023-06-11
Alpha Innovations,Social Media,Women 25-34,15 days,0.03,5877.59,2.85,Seattle,English,917,14333,1,Fashionistas,2023-06-12
DataTech Solutions,Email,Men 25-34,30 days,0.04,8937.64,5.06,Los Ángeles,Mandarin,1553,16819,6,Health & Wellness,2023-06-28
NexGen Systems,Influencer,Men 25-34,30 days,0.06,19716.89,2.13,San Francisco,English,1198,7559,2,Tech Enthusiasts,2023-06-19
DataTech Solutions,Search,All Ages,15 days,0.07,10104.08,4.01,Las Vegas,German,1552,13799,3,Foodies,2023-06-08
Alpha Innovations,Email,All Ages,15 days,0.11,18373.78,4.78,Miami,Spanish,1056,3673,5,Fashionistas,2023-06-07
Innovate Industries,Social Media,Men 25-34,30 days,0.11,16408.97,7.57,Los Ángeles,French,1134,1291,8,Tech Enthusiasts,2023-06-03
Innovate Industries,Influencer,All Ages,15 days,0.05,14891.45,7.42,Miami,Spanish,849,5329,10,Tech Enthusiasts,2023-06-10
NexGen Systems,Influencer,Men 25-34,45 days,0.02,7940.45,3.08,Las Vegas,Mandarin,367,6186,9,Foodies,2023-06-23
DataTech Solutions,Email,All Ages,60 days,0.14,10841.31,2.82,Washington D.C.,English,903,7799,7,Health & Wellness,2023-06-15
DataTech Solutions,Social Media,Women 25-34,45 days,0.1,9936.5,4.27,Miami,Spanish,802,16849,9,Outdoor Adventurers,2023-06-15
DataTech Solutions,Email,Women 35-44,45 days,0.14,5503.55,2.31,Chicago,French,1310,10000,5,Fashionistas,2023-06-27
NexGen Systems,Email,Men 18-24,45 days,0.13,12037.71,6.73,Las Vegas,Mandarin,1031,13572,10,Foodies,2023-06-11
Alpha Innovations,Influencer,All Ages,60 days,0.14,16630.92,4.92,Nueva Orleans,Spanish,699,3200,2,Fashionistas,2023-06-17
NexGen Systems,Influencer,All Ages,15 days,0.09,19206.81,7.71,Chicago,Spanish,1499,16332,8,Foodies,2023-06-12
NexGen Systems,Email,Women 35-44,30 days,0.14,7466.05,7.2,Miami,Spanish,619,16417,3,Foodies,2023-06-27
TechCorp,Social Media,All Ages,60 days,0.08,9776.32,6.48,San Francisco,French,469,5889,3,Foodies,2023-06-26
TechCorp,Email,Men 25-34,45 days,0.02,10966.61,3.94,Miami,Spanish,102,2327,5,Foodies,2023-06-18
DataTech Solutions,Search,Women 25-34,30 days,0.03,15099.72,2.17,Washington D.C.,English,1208,10927,4,Foodies,2023-06-11
NexGen Systems,Email,Men 25-34,15 days,0.05,9267.49,4.52,Washington D.C.,Spanish,1890,16148,3,Health & Wellness,2023-06-10
Innovate Industries,Email,Men 25-34,15 days,0.08,6964.77,7.28,Miami,Mandarin,338,12021,9,Outdoor Adventurers,2023-06-06
